LinkID,LinkName,AirportCode,NodeNameFrom,NodeNameTo,Length,LinkTypeID,RunwayAssociation
328,SpotS.2_S.Cargo.A,PHX,SpotS.2,S.Cargo.A,124.9520658895,10,null
329,SpotS.1_Taxiway Intersection (49),PHX,SpotS.1,Taxiway Intersection (49),164.539,10,null
330,SpotSW.4_Terminal2S.A,PHX,SpotSW.4,Terminal2S.A,100.0170677127,10,null
331,D.n7_SpotSW.3,PHX,D.n7,SpotSW.3,146.1,10,null
332,SpotSW.2_Terminal3S.D,PHX,SpotSW.2,Terminal3S.D,71.1026514345,10,null
333,SpotSW.1_D.n9,PHX,SpotSW.1,D.n9,88.5657530175,10,null
334,D.n10_SpotNE.16,PHX,D.n10,SpotNE.16,103.334,10,null
335,D.n11_SpotNE.15,PHX,D.n11,SpotNE.15,121.583,10,null
336,D.n11_SpotNE.14,PHX,D.n11,SpotNE.14,122.488,10,null
337,D.n12_SpotNE.13,PHX,D.n12,SpotNE.13,115.493,10,null
338,D.n12_SpotNE.12,PHX,D.n12,SpotNE.12,128.912,10,null
339,SpotNE.11_D.n13,PHX,SpotNE.11,D.n13,114.092,10,null
340,SpotE.1_Terminal5.X2,PHX,SpotE.1,Terminal5.X2,156.3528489382,10,null
341,SpotE.2_SE.Cargo.X1,PHX,SpotE.2,SE.Cargo.X1,247.7230670687,10,null
342,SpotCE.2_Taxiway Intersection (47),PHX,SpotCE.2,Taxiway Intersection (47),160.253,10,null
343,SpotCE.3_C.n7,PHX,SpotCE.3,C.n7,326.325,10,null
344,SpotCE.4_C.n7,PHX,SpotCE.4,C.n7,159.078,10,null
345,SpotCE.5_Taxiway Intersection (44),PHX,SpotCE.5,Taxiway Intersection (44),165.054,10,null
346,SpotCE.7_Taxiway Intersection (45),PHX,SpotCE.7,Taxiway Intersection (45),213.695,10,null
347,SpotCE.6_C.nT,PHX,SpotCE.6,C.nT,205.7822615302,10,null
348,SpotW.1_D.n1,PHX,SpotW.1,D.n1,194.552,10,null
349,SpotW.2_E.n3,PHX,SpotW.2,E.n3,195.77,10,null
350,Taxiway Intersection (50)_E.n9,PHX,Taxiway Intersection (50),E.n9,588.5401255208,10,null
